what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1288024753755
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1288024753801
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1288024753802
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1288024753841
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1288024753941
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1288024754082
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1288024754116
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1288024754184
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1288024754250
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1288024754280
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1288024754293
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1288024754303
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1288024754316
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1288024754329
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1288024754342
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1288024754342
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1288024754494
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1288024754506
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1288024754522
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1288024754531
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1288024754540
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1288024754549
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1288024754562
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1288024754579
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1288024754635
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1288024754708
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1288024754865
started,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1288024754905
started,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms",1288024754906
os,sysinfo,,,"win32",1288024754941
arch,sysinfo,,,"x86_64",1288024754941
ws,sysinfo,,,"win32",1288024754941
locale,sysinfo,,,"en_US",1288024754941
processors,sysinfo,,,"4",1288024754941
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1288024754941
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1288024754941
java.specification.name,sysinfo,,,"Java Platform API Specification",1288024754941
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288024754941
java.specification.version,sysinfo,,,"1.6",1288024754941
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1288024754941
java.version,sysinfo,,,"1.6.0_15",1288024754941
java.vm.info,sysinfo,,,"mixed mode",1288024754941
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1288024754941
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1288024754941
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1288024754941
java.vm.specification.version,sysinfo,,,"1.0",1288024754941
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1288024754941
java.vm.version,sysinfo,,,"14.1-b02",1288024754941
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1288024755222
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1288024756170
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1288024756183
