what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1291734468386
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1291734468410
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1291734468431
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1291734468492
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1291734468526
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1291734468534
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1291734468557
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1291734468621
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1291734468683
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1291734468697
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1291734468709
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1291734468709
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1291734468732
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1291734468744
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1291734468768
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1291734468791
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1291734468808
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1291734468820
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1291734468863
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1291734468869
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1291734468875
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1291734468902
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1291734468914
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1291734468960
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1291734469035
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1291734469035
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1291734469058
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1291734469104
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1291734469114
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1291734469140
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1291734469161
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1291734469178
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1291734469197
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1291734469216
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1291734469243
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1291734469256
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1291734469279
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1291734469286
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1291734469298
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1291734469299
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1291734469318
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1291734469355
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1291734469355
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1291734469385
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1291734469417
started,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1291734469420
started,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms",1291734469466
os,sysinfo,,,"win32",1291734469476
arch,sysinfo,,,"x86_64",1291734469476
ws,sysinfo,,,"win32",1291734469476
locale,sysinfo,,,"en_US",1291734469476
processors,sysinfo,,,"4",1291734469476
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1291734469476
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1291734469476
java.specification.name,sysinfo,,,"Java Platform API Specification",1291734469476
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291734469476
java.specification.version,sysinfo,,,"1.6",1291734469476
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1291734469476
java.version,sysinfo,,,"1.6.0_15",1291734469476
java.vm.info,sysinfo,,,"mixed mode",1291734469476
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1291734469476
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1291734469476
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291734469476
java.vm.specification.version,sysinfo,,,"1.0",1291734469476
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1291734469476
java.vm.version,sysinfo,,,"14.1-b02",1291734469476
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1291734469822
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1291734469833
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291734470269
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1291734470316
started,bundle,org.eclipse.team.cvs.ssh2,3.2.300.I20100526-0800,"org.eclipse.team.cvs.ssh2",1291734470344
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1291734475073
error,log,,,"Failed to load properties file for project 'activ8lob'",1291734475152
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291734536591
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291734538928
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1291734544299
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1291734544368
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1291734544398
executed,command,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui.update",1291734563468
started,bundle,org.eclipse.equinox.security.ui,1.0.200.v20100503,"org.eclipse.equinox.security.ui",1291734563547
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291734564152
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291734569543
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291734570001
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291734582945
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1291734602596
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1291734602811
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291734603003
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291734605924
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1291734605931
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1291734627739
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1291734650427
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1291734650486
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291734669584
started,bundle,org.eclipse.jdt.junit.core,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.core",1291734676845
executed,command,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui.update",1291734686252
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291734686550
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291734695637
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1291734706668
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1291734706714
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1291734708809
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1291734722119
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.SourceView",1291734722983
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.SourceView",1291734723001
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1291734724844
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1291734726269
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1291734727994
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1291734730518
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1291734733378
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291734733669
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291734775285
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1291734794768
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291734795327
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291734800382
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291734941350
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291736147428
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291736162546
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291738925562
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291738964107
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291739020304
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291739034279
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291739036868
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291739037155
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1291739040106
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1291739040118
